Vote Name,Table Name,Category,Approved Budget,Cashlimits by End,Released by End,Spent by End Jun,% Budget Released,% Budget spent,% Releases spent
Hoima Referral Hospital,Overview of Vote Expenditures,Wage,2.458,2.233,2.294,2.290,93.3%,93.2%, 99.8%
Hoima Referral Hospital,Overview of Vote Expenditures,Non Wage,0.963,1.185,1.019,0.971, 105.8%,100.8%,95.3%
Hoima Referral Hospital,Overview of Vote Expenditures,GoU, 1.200,1.200,1.200,1.198, 100.0%,99.9%, 99.9%
Hoima Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A, N/A, N/A
Hoima Referral Hospital,Overview of Vote Expenditures,GoU Total, 4.621,4.619,4.513,4.459,97.7%,96.5%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 4.621, N/A, 4.513,4.459,97.7%,96.5%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures,Arrears, 0.003,N/A,0.003,0.001, 100.1%,25.0%, 25.0%
Hoima Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000, N/A, N/A,N/A
Hoima Referral Hospital,Overview of Vote Expenditures, Total Budget, 4.624,4.619,4.516,4.460,97.7%,96.5%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.030,N/A,0.000,0.000,0.0%,0.0%,N/A
Hoima Referral Hospital,Overview of Vote Expenditures,Grand Total, 4.654,4.619,4.516,4.460,97.0%,95.8%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",4.651,4.619,4.513,4.459,97.0%,95.9%, 98.8%
Jinja Referral Hospital,Overview of Vote Expenditures,Wage,3.617,3.617,3.665,3.665, 101.3%, 101.3%,100.0%
Jinja Referral Hospital,Overview of Vote Expenditures,Non Wage,0.957,1.198,1.001,1.001, 104.5%, 104.5%,100.0%
Jinja Referral Hospital,Overview of Vote Expenditures,GoU, 1.000,1.000,1.000,0.716, 100.0%, 71.6%,71.6%
Jinja Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A, N/A, N/A
Jinja Referral Hospital,Overview of Vote Expenditures,GoU Total, 5.574,5.815,5.665,5.381,101.6%,96.5%,95.0%
Jinja Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 5.574, N/A, 5.665,5.381,101.6%,96.5%,95.0%
Jinja Referral Hospital,Overview of Vote Expenditures,Arrears, 0.443,N/A,0.443,0.443, 100.0%, 100.0%,100.0%
Jinja Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Jinja Referral Hospital,Overview of Vote Expenditures, Total Budget, 6.017,5.815,6.108,5.824,101.5%,96.8%,95.3%
Jinja Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.291,N/A,0.230,0.230,79.3%, 79.3%, 100.0%
Jinja Referral Hospital,Overview of Vote Expenditures,Grand Total, 6.307,5.815,6.339,6.055,100.5%,96.0%,95.5%
Jinja Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",5.864,5.815,5.896,5.612, 100.5%, 95.7%,95.2%
